EXT_SOURCE_2,EXT_SOURCE_3,CREDITCARD_CREDIT_UTILIZATION_MEAN,CREDITCARD_CNT_DRAWINGS_ATM_CURRENT_MEAN,CREDITCARD_CNT_DRAWINGS_CURRENT_MAX,EXT_SOURCE_1,CREDITCARD_CREDIT_UTILIZATION_MAX,DAYS_CREDIT_mean,CREDITCARD_CNT_DRAWINGS_CURRENT_MEAN,CREDIT_ACTIVE_Closed_mean,DAYS_BIRTH,CREDIT_ACTIVE_Active_mean,DAYS_CREDIT_min,CREDITCARD_AMT_INST_MIN_REGULARITY_MEAN,CREDITCARD_CREDIT_UTILIZATION_STD,DAYS_CREDIT_UPDATE_mean,CREDITCARD_CNT_DRAWINGS_ATM_CURRENT_MAX,REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,DAYS_ENDDATE_FACT_min,MONTHS_BALANCE_min,DAYS_LAST_PHONE_CHANGE,CODE_GENDER_M,CODE_GENDER_F,DAYS_DECISION_min,DAYS_ENDDATE_FACT_mean,DAYS_ID_PUBLISH,REG_CITY_NOT_WORK_CITY,DAYS_CREDIT_std,NAME_EDUCATION_TYPE_Secondary / secondary special,DAYS_CREDIT_max,DAYS_CREDIT_ENDDATE_mean,DAYS_DECISION_mean,NAME_INCOME_TYPE_Pensioner,DAYS_EMPLOYED,ORGANIZATION_TYPE_XNA,FLAG_EMP_PHONE,REG_CITY_NOT_LIVE_CITY,FLAG_DOCUMENT_3,FLOORSMAX_AVG,FLOORSMAX_MEDI,FLOORSMAX_MODE,OCCUPATION_TYPE_Laborers,DAYS_REGISTRATION,HOUSETYPE_MODE_block of flats,RATE_DOWN_PAYMENT_max,HOUSETYPE_MODE_nan,AMT_GOODS_PRICE,WALLSMATERIAL_MODE_nan,OCCUPATION_TYPE_nan,OWN_CAR_AGE,REGION_POPULATION_RELATIVE,DAYS_CREDIT_ENDDATE_max,EMPLOYABILITY_STABILITY,HOUR_APPR_PROCESS_START_mean,MONTHS_BALANCE_size,APP_CREDIT_PERC_mean,AMT_ANNUITY_mean_y,DAYS_CREDIT_ENDDATE_min,ELEVATORS_AVG,ELEVATORS_MEDI,FLOORSMIN_AVG,RATE_DOWN_PAYMENT_mean,FLOORSMIN_MEDI,WALLSMATERIAL_MODE_Panel,LIVINGAREA_AVG,LIVINGAREA_MEDI,FLOORSMIN_MODE,TOTALAREA_MODE,LIVE_CITY_NOT_WORK_CITY,AMT_ANNUITY_min,DEF_30_CNT_SOCIAL_CIRCLE,ELEVATORS_MODE,HOUR_APPR_PROCESS_START_min,DEF_60_CNT_SOCIAL_CIRCLE,NAME_CONTRACT_TYPE,APP_CREDIT_PERC_max,HOUR_APPR_PROCESS_START_max,LIVINGAREA_MODE,AMT_CREDIT,OCCUPATION_TYPE_Drivers,NAME_HOUSING_TYPE_With parents,APARTMENTS_AVG,FONDKAPREMONT_MODE_nan,PAYMENT_DIFF_MEAN,APARTMENTS_MEDI,ORGANIZATION_TYPE_Self-employed,AMT_ANNUITY_max_y,FLAG_DOCUMENT_6,NAME_HOUSING_TYPE_House / apartment,FLAG_WORK_PHONE,CNT_PAYMENT_mean,CNT_PAYMENT_sum,OCCUPATION_TYPE_Low-skill Laborers,PAYMENT_DIFF_SUM,APARTMENTS_MODE,NAME_FAMILY_STATUS_Single / not married,AMT_PAYMENT_MIN,SK_ID_CURR
0.771890322148218,,,,,0.6370605089336666,,,,,-11348.0,,,,,,,1.0,1.0,1.0,1.0,,-24.0,-730.0,1.0,0.0,-730.0,,-3953.0,0.0,,0.0,,,-730.0,0.0,-1149.0,0.0,1.0,0.0,0.0,0.1333,0.0833,0.0833,0.0,-5443.0,1.0,0.0,0.0,702000.0,0.0,0.0,14.0,0.032561,,0.1012513218188227,13.0,23.0,1.0,16490.25,,0.072,0.0,0.175,0.0,0.125,0.0,0.0898,0.0298,0.125,0.0231,0.0,16490.25,0.0,0.0,13.0,0.0,0.0,1.0,13.0,0.0192,854896.5,0.0,0.0,0.0926,0.0,0.0,0.0375,0.0,16490.25,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0378,0.0,16490.25,208550.0
0.6720380376030598,0.5549467685334323,,,,,,-537.375,,0.875,-19852.0,0.125,-1829.0,,,-365.25,,2.0,2.0,0.0,1.0,-455.0,-23.0,-693.0,0.0,1.0,-693.0,-180.14285714285714,-3237.0,0.0,590.5614610569456,0.0,-8.0,2321.0,-426.44444444444446,1.0,365243.0,1.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,-192.0,1.0,,0.0,225000.0,0.0,1.0,,0.009175,9131.0,-18.398297400765667,14.0,18.0,0.9284741919450644,17522.960000000003,-203.0,0.2,0.2,0.375,,0.375,0.0,0.2099,0.2136,0.375,0.2187,0.0,2250.0,0.0,0.2014,12.0,0.0,0.0,1.0,15.0,0.2186,296280.0,0.0,0.0,0.232,0.0,-13944.25,0.2342,0.0,29773.305,1.0,1.0,0.0,37.333333333333336,336.0,0.0,-250996.5,0.2363,1.0,7454.97,173779.0
0.6302149806843074,0.6195277080511546,0.0,,0.0,0.7894709269183822,0.0,-1755.25,0.0,0.25,-15138.0,0.75,-2585.0,0.0,0.0,-273.5,,2.0,2.0,0.0,0.0,-1023.0,-96.0,-231.0,0.0,1.0,-2798.0,-1023.0,-4450.0,0.0,637.4900652820664,1.0,-1035.0,-1703.0,-1380.9,0.0,-4891.0,0.0,1.0,0.0,1.0,,,,0.0,-9273.0,0.0,0.3492578998463615,1.0,315000.0,1.0,0.0,7.0,0.02461,-1024.0,0.3230942000264236,15.5,40.0,1.1259504517162482,17418.740625,-2382.0,,,,0.2107055242604782,,0.0,,,,0.0018,0.0,4046.13,0.0,,11.0,0.0,0.0,1.4286062853796604,20.0,,339948.0,0.0,0.0,,1.0,-5507.404615384616,,0.0,31500.0,0.0,1.0,0.0,9.75,78.0,0.0,-214788.78,,0.0,4046.13,365820.0
0.7712968255704084,0.4101025731788671,0.3555315277777778,0.4545454545454545,4.0,0.4604294864458124,0.6197471666666666,-1696.2222222222222,0.4166666666666667,0.8888888888888888,-15214.0,0.1111111111111111,-2603.0,4396.46625,0.246913584311459,-1001.2222222222222,4.0,3.0,3.0,1.0,0.0,-2482.0,-26.0,-790.0,1.0,0.0,-790.0,-1656.25,-4943.0,0.0,875.6454444833504,1.0,-278.0,-1451.5555555555557,-557.1111111111111,0.0,-2773.0,0.0,1.0,0.0,1.0,0.3333,0.3333,0.3333,1.0,-2075.0,1.0,0.0,0.0,526500.0,0.0,0.0,,0.002042,165.0,0.1822663336400683,13.555555555555555,27.0,0.9529673070309324,18141.76125,-2482.0,0.08,0.08,0.375,0.0,0.375,1.0,0.0591,0.0602,0.375,0.0489,0.0,9000.0,0.0,0.0806,10.0,0.0,0.0,1.0,18.0,0.0616,609898.5,0.0,0.0,0.0557,1.0,0.0,0.0562,0.0,27449.82,0.0,1.0,0.0,15.0,60.0,0.0,0.0,0.0567,0.0,109.71,144092.0
0.4795125024507302,,,,,0.3458271742422908,,,,,-15806.0,,,,,,,3.0,3.0,1.0,0.0,,-85.0,-2580.0,1.0,0.0,-2580.0,,-5943.0,0.0,,1.0,,,-1109.0,0.0,-5816.0,0.0,1.0,0.0,1.0,0.1667,0.1667,0.1667,0.0,-1188.0,1.0,0.2090306671868904,0.0,450000.0,0.0,0.0,,0.018029,,0.3679615335948374,9.25,26.0,1.007264108200266,20288.5725,,0.0,0.0,0.0417,0.0794849395239953,0.0417,1.0,0.1688,0.1718,0.0417,0.1367,0.0,4285.035,0.0,0.0,6.0,0.0,0.0,1.187380497131931,12.0,0.1759,450000.0,0.0,0.0,0.1701,0.0,0.0,0.1718,0.0,51346.98,0.0,1.0,1.0,25.0,150.0,0.0,0.0,0.1733,0.0,5013.045,291599.0
0.5187663834263648,0.6023863442690867,0.0526668431372549,0.072289156626506,3.0,0.5262342651391575,0.7125440000000001,-1249.0,0.0823529411764705,0.4285714285714285,-15720.0,0.5714285714285714,-2541.0,736.998475609756,0.1564786289149736,-455.2857142857143,3.0,2.0,2.0,0.0,0.0,-2417.0,-93.0,0.0,0.0,1.0,-2810.0,-1278.6666666666667,-3458.0,0.0,617.1909483026033,1.0,-673.0,-342.6666666666667,-1195.7142857142858,0.0,-2961.0,0.0,1.0,0.0,1.0,,,,0.0,-7193.0,0.0,0.1013792227154135,1.0,373500.0,1.0,1.0,,0.008625,918.0,0.1883587786259542,15.071428571428571,39.0,0.86838284653479,16509.65625,-2207.0,,,,0.0643031117982056,,0.0,,,,,0.0,3532.77,0.0,,10.0,0.0,0.0,1.0526371196968105,19.0,,410476.5,0.0,0.0,,1.0,-6020.377279411765,,0.0,26922.87,0.0,1.0,0.0,26.58333333333333,638.0,0.0,-409385.655,,1.0,67.5,418609.0
0.5635909940785919,0.1054731864873376,0.5500887889483066,0.625,20.0,0.8516141453987472,1.042808787878788,-155.5,4.705882352941177,0.7,-16884.0,0.3,-501.0,4322.771470588235,0.3911529172440104,-80.2,4.0,2.0,2.0,0.0,0.0,-470.0,-24.0,-567.0,0.0,1.0,-709.0,-114.14285714285714,-438.0,0.0,167.16276166924524,1.0,-26.0,276.5,-337.2,0.0,-1407.0,0.0,1.0,0.0,1.0,0.5417,0.5417,0.5417,0.0,-52.0,1.0,0.0,0.0,495000.0,0.0,0.0,,0.011703,1325.0,0.0833333333333333,13.133333333333333,18.0,0.8936957510120064,13038.878571428571,-87.0,0.08,0.08,0.5833,0.0,0.5833,1.0,0.0833,0.0848,0.5833,0.0701,0.0,2250.0,0.0,0.0806,11.0,0.0,0.0,1.0,17.0,0.0868,495000.0,0.0,0.0,0.101,0.0,609.437327586207,0.102,0.0,25405.2,0.0,1.0,1.0,30.0,210.0,0.0,35347.365000000005,0.1029,0.0,4.14,398791.0
0.4765006241115439,0.4525335592581747,,,,,,-756.5,,0.5,-22810.0,0.5,-1709.0,,,-341.5,,2.0,2.0,1.0,1.0,-1327.0,-25.0,-747.0,1.0,0.0,-747.0,-732.0,-1163.0,0.0,672.7389290554447,0.0,-182.0,298.0,-400.4285714285714,0.0,-4049.0,0.0,1.0,0.0,1.0,0.3542,0.3542,0.3333,0.0,-858.0,1.0,0.0,0.0,900000.0,0.0,0.0,,0.009549,1644.0,0.1775098640946953,14.428571428571429,22.0,1.0,24721.245,-613.0,0.12,0.12,0.3958,0.0,0.3958,1.0,0.1496,0.1522,0.375,0.1656,0.0,5470.74,0.0,0.1208,13.0,0.0,0.0,1.0,16.0,0.1477,1024740.0,0.0,0.0,0.1763,0.0,0.0,0.178,0.0,59355.0,0.0,1.0,0.0,28.0,84.0,0.0,0.0,0.1702,0.0,5470.74,202661.0
0.6526608813072869,0.2636468134452008,0.2240515942028985,0.0326086956521739,2.0,,0.9997193333333332,-1154.375,0.03125,0.75,-18381.0,0.25,-2443.0,225.96280219780215,0.4030936859231369,-664.125,2.0,2.0,2.0,1.0,0.0,-1614.0,-96.0,-1609.0,1.0,0.0,-2584.0,-1010.1666666666666,-1909.0,0.0,633.9163851276708,1.0,-351.0,87.1875,-1408.5555555555557,0.0,-1185.0,0.0,1.0,0.0,1.0,,,,1.0,-5223.0,0.0,0.206891736396559,1.0,369000.0,1.0,0.0,2.0,0.028663,12604.0,0.0644687448996246,10.055555555555555,101.0,0.9744927830520802,26348.54192307692,-2328.0,,,,0.0471899909127489,,0.0,,,,,0.0,14954.13,0.0,,7.0,0.0,0.0,1.172590854765172,16.0,,369000.0,0.0,0.0,,1.0,204.74292134831455,,0.0,56581.2,0.0,1.0,0.0,9.846153846153848,128.0,0.0,36444.24,,0.0,0.045,185171.0
0.6797073673620089,0.6690566947824041,,,,,,-1488.0,,0.5,-17232.0,0.5,-2435.0,,,-586.0,,1.0,1.0,0.0,1.0,-1331.0,-88.0,-1764.0,0.0,1.0,-2685.0,-1331.0,-766.0,0.0,1339.260243567321,0.0,-541.0,-390.5,-1500.75,0.0,-1084.0,0.0,1.0,0.0,1.0,0.1667,0.1667,0.1667,0.0,-6534.0,1.0,0.2123935501698026,0.0,1800000.0,0.0,0.0,,0.032561,559.0,0.0629062209842154,16.0,64.0,1.0352932187333503,16580.23875,-1340.0,0.0,0.0,,0.1041340163028997,,0.0,0.0497,0.0506,,0.0391,0.0,3013.92,0.0,0.0,14.0,0.0,0.0,1.210353227771011,19.0,0.0518,2013840.0,0.0,0.0,0.0619,1.0,690.8477343749998,0.0625,0.0,44214.255,0.0,1.0,0.0,16.0,64.0,0.0,44214.25499999999,0.063,0.0,2971.08,111761.0
